filename,width,height,class,xmin,ymin,xmax,ymax
00000005.jpg,1140,712,skin,296,335,414,530
00000005.jpg,1140,712,skin,103,461,299,537
00000005.jpg,1140,712,skin,309,542,450,661
00000005.jpg,1140,712,skin,126,577,321,644
00000005.jpg,1140,712,skin,920,249,1039,516
00000005.jpg,1140,712,skin,634,390,851,605
00000005.jpg,1140,712,skin,628,26,918,183
00000005.jpg,1140,712,skin,487,10,607,107
00000005.jpg,1140,712,skin,533,132,680,206
00000005.jpg,1140,712,skin,485,251,587,482
00000005.jpg,1140,712,wrestlers,21,20,1086,691
00000008.jpg,1280,720,skin,798,427,867,612
00000008.jpg,1280,720,skin,731,445,785,518
00000008.jpg,1280,720,skin,700,164,753,267
00000008.jpg,1280,720,skin,675,247,778,359
00000008.jpg,1280,720,skin,769,80,808,139
00000008.jpg,1280,720,skin,850,230,901,418
00000008.jpg,1280,720,skin,259,430,286,542
00000008.jpg,1280,720,wrestler,138,252,320,560
00000008.jpg,1280,720,wrestler,633,63,880,715
00000009.jpg,620,330,skin,392,164,518,207
00000009.jpg,620,330,skin,437,37,476,91
00000009.jpg,620,330,skin,1,245,99,293
00000009.jpg,620,330,skin,65,61,129,157
00000009.jpg,620,330,skin,162,118,232,194
00000009.jpg,620,330,skin,161,65,193,108
00000009.jpg,620,330,wrestlers,1,36,299,305
00000010.jpg,413,612,skin,273,185,353,485
00000010.jpg,413,612,skin,71,190,146,508
00000010.jpg,413,612,skin,167,177,249,237
00000010.jpg,413,612,skin,173,80,224,139
00000010.jpg,413,612,skin,71,551,195,611
00000010.jpg,413,612,skin,256,526,311,591
00000011.jpg,1200,942,skin,115,659,339,837
00000011.jpg,1200,942,skin,162,509,242,589
00000011.jpg,1200,942,skin,495,442,573,637
00000011.jpg,1200,942,skin,304,342,431,501
00000011.jpg,1200,942,skin,858,469,977,622
00000011.jpg,1200,942,skin,884,608,1036,725
00000011.jpg,1200,942,skin,575,277,704,444
00000011.jpg,1200,942,skin,644,169,695,229
00000011.jpg,1200,942,skin,797,71,941,212
00000011.jpg,1200,942,wrestlers,73,55,1004,918
00000012.jpg,840,560,skin,581,360,763,553
00000012.jpg,840,560,skin,100,447,185,560
00000012.jpg,840,560,skin,187,302,256,405
00000012.jpg,840,560,skin,410,331,477,397
00000012.jpg,840,560,skin,523,305,544,558
00000013.jpg,1280,720,skin,668,167,789,649
00000013.jpg,1280,720,skin,100,326,493,572
00000013.jpg,1280,720,skin,541,304,607,408
00000013.jpg,1280,720,skin,545,435,642,578
00000014.jpg,1280,720,skin,200,333,397,689
00000014.jpg,1280,720,skin,725,330,983,713
00000014.jpg,1280,720,skin,429,291,566,415
00000014.jpg,1280,720,skin,483,452,639,593
00000014.jpg,1280,720,skin,836,83,1008,284
00000014.jpg,1280,720,wrestlers,155,24,1148,720
00000016.jpg,1200,800,skin,397,246,542,434
00000016.jpg,1200,800,skin,585,216,685,366
00000016.jpg,1200,800,skin,614,108,703,232
00000016.jpg,1200,800,skin,719,272,814,558
00000016.jpg,1200,800,skin,626,702,720,799
00000016.jpg,1200,800,skin,484,707,572,793
00000016.jpg,1200,800,wrestler,378,55,853,800
00000017.jpg,900,600,skin,351,315,402,400
00000017.jpg,900,600,skin,281,412,379,474
00000017.jpg,900,600,skin,495,290,589,390
00000017.jpg,900,600,skin,719,328,820,527
00000017.jpg,900,600,skin,560,141,589,191
00000017.jpg,900,600,skin,415,137,480,302
00000017.jpg,900,600,skin,838,350,886,383
00000017.jpg,900,600,skin,667,133,724,364
00000017.jpg,900,600,skin,494,185,540,224
00000017.jpg,900,600,wrestler,225,60,606,591
00000019.jpg,1660,934,referee,303,277,709,934
00000019.jpg,1660,934,skin,1116,556,1317,919
00000019.jpg,1660,934,skin,922,343,1044,497
00000019.jpg,1660,934,skin,587,88,743,447
00000019.jpg,1660,934,skin,754,447,868,690
00000019.jpg,1660,934,skin,958,531,1036,625
00000021.jpg,1416,797,skin,396,187,457,401
00000021.jpg,1416,797,skin,487,198,548,310
00000021.jpg,1416,797,skin,560,155,602,246
00000021.jpg,1416,797,skin,349,350,416,588
00000021.jpg,1416,797,skin,458,348,560,573
00000021.jpg,1416,797,wrestler,235,75,686,746
00000021.jpg,1416,797,skin,942,366,1094,646
00000021.jpg,1416,797,skin,1124,347,1267,541
00000021.jpg,1416,797,skin,855,57,982,389
00000021.jpg,1416,797,wrestler,745,11,1321,777
00000022.jpg,463,350,referee,28,15,126,340
00000022.jpg,463,350,referee,380,60,459,337
00000022.jpg,463,350,skin,220,307,266,350
00000022.jpg,463,350,skin,286,293,335,349
00000022.jpg,463,350,skin,243,116,281,169
00000022.jpg,463,350,skin,287,125,316,177
00000022.jpg,463,350,skin,153,142,234,194
00000022.jpg,463,350,skin,253,79,282,113
00000022.jpg,463,350,skin,326,92,375,136
00000025.jpg,480,360,skin,250,203,281,321
00000025.jpg,480,360,wrestlers,52,99,376,340
00000025.jpg,480,360,skin,204,139,239,162
00000025.jpg,480,360,skin,103,160,163,208
00000025.jpg,480,360,skin,132,199,188,236
00000026.jpg,640,400,skin,380,159,459,233
00000026.jpg,640,400,skin,142,211,231,313
00000026.jpg,640,400,skin,271,222,337,346
00000026.jpg,640,400,skin,269,129,332,214
00000026.jpg,640,400,skin,11,373,81,400
00000026.jpg,640,400,skin,365,235,431,329
00000028.jpg,325,217,skin,87,103,105,155
00000028.jpg,325,217,skin,114,85,127,149
00000028.jpg,325,217,skin,215,104,224,124
00000028.jpg,325,217,skin,252,102,273,112
00000028.jpg,325,217,skin,55,118,76,129
00000028.jpg,325,217,skin,64,75,88,92
00000028.jpg,325,217,skin,261,121,283,132
00000028.jpg,325,217,wrestlers,8,38,318,186
00000030.jpg,1140,797,skin,808,291,1140,522
